	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ACAP2	1904.393	-0.011	0.063	-0.167	0.868	0.916
ACAP3	992.444	0.088	0.072	1.211	0.226	0.353
ACAT1	2313.704	-0.013	0.052	-0.247	0.805	0.873
ACAT2	2498.731	-0.001	0.052	-0.011	0.992	0.995
ACBD3	3434.692	0.072	0.055	1.304	0.192	0.313
ACBD4	440.669	0.189	0.096	1.971	0.049	0.105
ACBD5	1427.92	-0.219	0.059	-3.705	0.0	0.001
ACBD6	1119.109	-0.043	0.063	-0.68	0.497	0.632
ACBD7	485.701	-0.37	0.086	-4.287	0.0	0.0
ACCN1	0.789	-0.064	0.082	-0.782	0.434	
ACCN2	853.02	0.64	0.08	7.985	0.0	0.0
ACCN3	75.397	0.306	0.174	1.757	0.079	0.155
ACCN4	19.977	-0.327	0.207	-1.579	0.114	0.209
ACCN5	0.0					
ACCS	117.896	0.188	0.143	1.314	0.189	0.309
ACCSL	0.368	-0.001	0.06	-0.015	0.988	
ACD	407.318	-0.267	0.099	-2.687	0.007	0.021
ACE	151.29	0.864	0.135	6.385	0.0	0.0
ACE2	26.345	0.165	0.204	0.809	0.419	0.56
ACER1	0.568	-0.029	0.072	-0.407	0.684	
ACER2	83.265	0.419	0.159	2.64	0.008	0.024
ACER3	826.267	0.037	0.073	0.503	0.615	0.733
ACHE	88.329	1.558	0.163	9.539	0.0	0.0
ACIN1	6669.037	-0.183	0.053	-3.463	0.001	0.002
ACLY	13614.132	-0.169	0.043	-3.952	0.0	0.0
ACMSD	0.0					
ACN9	644.173	0.21	0.078	2.671	0.008	0.022
ACO1	815.8	-0.247	0.071	-3.487	0.0	0.002
ACO2	1984.657	-0.189	0.058	-3.25	0.001	0.004
ACOT1	52.536	0.075	0.183	0.41	0.682	0.785
ACOT11	73.905	-0.165	0.17	-0.971	0.331	0.471
ACOT12	1.842	0.092	0.119	0.772	0.44	
ACOT13	988.588	0.074	0.065	1.133	0.257	0.389
ACOT2	299.07	-0.029	0.107	-0.273	0.785	0.86
ACOT4	0.769	-0.055	0.083	-0.661	0.509	
ACOT6	0.749	0.017	0.074	0.228	0.819	
ACOT7	1438.56	-0.385	0.065	-5.902	0.0	0.0
ACOT8	379.041	-0.009	0.096	-0.089	0.929	0.957
ACOT9	616.939	0.148	0.076	1.931	0.053	0.113
ACOX1	1550.326	-0.158	0.061	-2.594	0.009	0.027
ACOX2	11.435	0.356	0.203	1.756	0.079	0.156
ACOX3	263.401	-0.112	0.109	-1.026	0.305	0.443
ACOXL	92.122	-0.406	0.151	-2.68	0.007	0.022
ACP1	3084.751	-0.119	0.05	-2.394	0.017	0.043
ACP2	649.267	-0.448	0.079	-5.703	0.0	0.0
ACP5	3.187	-0.072	0.149	-0.483	0.629	0.744
ACP6	566.469	0.145	0.081	1.788	0.074	0.147
ACPL2	704.915	0.01	0.075	0.135	0.892	0.934
ACPP	88.466	-0.02	0.159	-0.126	0.9	0.939
ACPT	0.52	-0.096	0.067	-1.427	0.153	
ACR	1.77	-0.009	0.122	-0.071	0.944	
ACRBP	10.052	-0.242	0.199	-1.216	0.224	0.351
ACRC	103.037	0.028	0.158	0.18	0.857	0.909
ACRV1	0.997	-0.078	0.09	-0.863	0.388	
ACSBG1	20.081	-0.117	0.208	-0.565	0.572	0.698
ACSBG2	1.033	0.109	0.09	1.214	0.225	
ACSF2	375.305	0.665	0.096	6.903	0.0	0.0
ACSF3	361.035	-0.164	0.093	-1.759	0.079	0.155
ACSL1	1474.983	0.04	0.06	0.67	0.503	0.638
ACSL3	3213.205	-0.027	0.059	-0.457	0.648	0.759
ACSL4	4482.799	0.563	0.06	9.303	0.0	0.0
ACSL5	10.077	-0.22	0.193	-1.138	0.255	0.387
ACSL6	174.873	0.611	0.127	4.821	0.0	0.0
ACSM1	0.827	-0.03	0.085	-0.359	0.719	
ACSM2A	0.0					
ACSM2B	0.0					
ACSM3	64.496	0.217	0.173	1.256	0.209	0.334
ACSM4	0.0					
ACSM5	0.295	-0.001	0.056	-0.014	0.989	
ACSS1	401.996	0.358	0.092	3.897	0.0	0.0
ACSS2	490.695	0.258	0.091	2.844	0.004	0.014
ACSS3	216.615	0.229	0.119	1.914	0.056	0.117
ACTA1	63.472	-0.31	0.182	-1.697	0.09	0.172
ACTA2	267.836	0.498	0.114	4.382	0.0	0.0
ACTB	43085.638	-0.551	0.065	-8.451	0.0	0.0
ACTBL2	48.9	-1.026	0.192	-5.342	0.0	0.0
ACTC1	9.06	-0.12	0.197	-0.606	0.545	0.674
ACTG1	52141.05	-0.23	0.051	-4.511	0.0	0.0
ACTG2	2.563	0.037	0.139	0.265	0.791	0.864
ACTL10	1.695	-0.018	0.116	-0.158	0.875	
ACTL6A	2421.588	-0.287	0.055	-5.232	0.0	0.0
ACTL6B	2.567	-0.066	0.14	-0.473	0.636	0.75
ACTL7A	0.0					
ACTL7B	0.741	-0.083	0.079	-1.05	0.294	
ACTL8	14.69	-0.786	0.206	-3.823	0.0	0.001
ACTL9	0.111	-0.01	0.042	-0.246	0.806	
ACTN1	2243.42	-0.026	0.056	-0.472	0.637	0.75
ACTN2	527.984	0.297	0.09	3.293	0.001	0.004
ACTN3	1.895	0.005	0.118	0.043	0.965	
ACTN4	5164.204	-0.36	0.058	-6.228	0.0	0.0
ACTR10	1426.618	-0.179	0.06	-2.958	0.003	0.01
ACTR1A	3661.014	-0.23	0.052	-4.46	0.0	0.0
ACTR1B	1527.976	0.188	0.068	2.786	0.005	0.016
ACTR2	9242.107	-0.192	0.064	-2.995	0.003	0.009
ACTR3	4562.418	0.036	0.051	0.709	0.478	0.616
ACTR3B	532.892	-0.62	0.083	-7.425	0.0	0.0
ACTR3BP2	0.0					
ACTR3BP5	15.439	-0.603	0.207	-2.919	0.004	0.011
ACTR3C	23.884	-0.262	0.207	-1.266	0.205	0.329
ACTR5	395.172	-0.401	0.093	-4.297	0.0	0.0
ACTR6	1147.962	0.101	0.078	1.299	0.194	0.315
ACTR8	817.027	-0.103	0.071	-1.442	0.149	0.258
ACTRT1	0.0					
ACTRT2	0.0					
ACVR1	435.428	0.09	0.088	1.018	0.308	0.446
ACVR1B	1448.398	-0.259	0.058	-4.472	0.0	0.0
ACVR1C	208.045	0.789	0.124	6.377	0.0	0.0
ACVR2A	333.895	0.142	0.103	1.38	0.168	0.282
ACVR2B	3691.099	-0.084	0.064	-1.304	0.192	0.313
ACVRL1	81.14	-0.159	0.156	-1.014	0.311	0.449
ACY1	23.507	0.286	0.206	1.39	0.164	0.278
ACY3	0.13	-0.01	0.042	-0.246	0.806	
ACYP1	346.919	0.128	0.096	1.328	0.184	0.303
ACYP2	72.572	-0.329	0.169	-1.947	0.052	0.11
ADA	380.779	0.312	0.099	3.149	0.002	0.006
ADAD1	0.271	-0.001	0.052	-0.012	0.99	
ADAD2	0.383	0.02	0.061	0.331	0.74	
ADAL	548.024	-0.131	0.084	-1.555	0.12	0.217
ADAM1	197.161	-0.432	0.124	-3.477	0.001	0.002
ADAM10	1351.111	0.167	0.071	2.337	0.019	0.049
ADAM11	533.881	0.42	0.083	5.083	0.0	0.0
ADAM12	130.667	0.149	0.14	1.061	0.289	0.425
ADAM15	1011.651	0.119	0.07	1.702	0.089	0.171
ADAM17	1195.937	0.164	0.065	2.526	0.012	0.032
ADAM18	0.271	0.014	0.052	0.279	0.78	
ADAM19	450.796	0.384	0.087	4.386	0.0	0.0
ADAM2	0.13	-0.01	0.042	-0.246	0.806	
ADAM20	1.766	-0.118	0.12	-0.982	0.326	
ADAM21	25.361	0.619	0.206	3.004	0.003	0.009
ADAM21P1	1.261	0.104	0.097	1.063	0.288	
ADAM22	737.945	0.159	0.078	2.045	0.041	0.091
ADAM23	362.896	0.141	0.094	1.493	0.135	0.239
ADAM28	2.531	-0.014	0.139	-0.097	0.923	0.953
ADAM29	0.0					
ADAM30	0.301	-0.017	0.053	-0.314	0.754	
ADAM32	13.889	-0.155	0.205	-0.756	0.45	0.59
ADAM33	0.0					
ADAM3A	0.0					
ADAM5P	0.0					
ADAM6	0.0					
ADAM7	0.0					
ADAM8	95.854	-0.321	0.157	-2.043	0.041	0.091
ADAM9	1345.834	0.5	0.069	7.25	0.0	0.0
ADAMDEC1	0.0					
ADAMTS1	9567.07	1.008	0.067	15.067	0.0	0.0
ADAMTS10	166.438	0.911	0.132	6.89	0.0	0.0
ADAMTS12	2.318	0.089	0.131	0.676	0.499	
ADAMTS13	228.184	0.29	0.118	2.458	0.014	0.037
ADAMTS14	10.765	0.298	0.202	1.474	0.141	0.246
ADAMTS15	181.232	0.329	0.122	2.693	0.007	0.021
ADAMTS16	86.656	-0.644	0.168	-3.832	0.0	0.001
ADAMTS17	436.357	-0.256	0.091	-2.816	0.005	0.015
ADAMTS18	72.853	0.545	0.172	3.166	0.002	0.006
ADAMTS19	249.006	0.112	0.112	0.999	0.318	0.456
ADAMTS2	172.934	1.034	0.132	7.829	0.0	0.0
ADAMTS20	102.757	0.066	0.152	0.436	0.663	0.771
ADAMTS3	534.975	0.343	0.09	3.816	0.0	0.001
ADAMTS4	27.937	0.549	0.204	2.69	0.007	0.021
ADAMTS5	71.662	0.097	0.167	0.582	0.56	0.688
ADAMTS6	140.025	0.309	0.136	2.272	0.023	0.056
ADAMTS7	87.2	1.081	0.165	6.565	0.0	0.0
ADAMTS8	84.969	0.337	0.161	2.097	0.036	0.082
ADAMTS9	330.157	0.322	0.097	3.32	0.001	0.003
ADAMTS9-AS2	15.454	0.309	0.208	1.486	0.137	0.241
ADAMTSL1	12.198	0.018	0.202	0.092	0.927	0.956
ADAMTSL2	0.345	-0.021	0.059	-0.35	0.727	
ADAMTSL3	63.772	0.842	0.175	4.815	0.0	0.0
ADAMTSL4	38.284	0.604	0.195	3.096	0.002	0.007
ADAMTSL5	84.655	-0.507	0.163	-3.117	0.002	0.006
ADAP1	205.462	0.199	0.12	1.661	0.097	0.183
ADAP2	492.036	-0.078	0.083	-0.935	0.35	0.491
ADAR	10015.62	-0.243	0.042	-5.783	0.0	0.0
ADARB1	558.741	-0.235	0.083	-2.84	0.005	0.014
ADARB2	47.843	0.29	0.185	1.566	0.117	0.213
ADARB2-AS1	0.111	-0.01	0.042	-0.246	0.806	
ADAT1	368.937	-0.09	0.094	-0.956	0.339	0.48
ADAT2	1072.498	0.301	0.068	4.413	0.0	0.0
ADAT3	231.846	-0.115	0.115	-1.004	0.316	0.454
ADC	147.177	-0.184	0.135	-1.365	0.172	0.288
ADCK1	239.151	-0.39	0.124	-3.136	0.002	0.006
ADCK2	1119.068	-0.123	0.064	-1.927	0.054	0.114
ADCK3	1674.102	0.146	0.059	2.452	0.014	0.037
ADCK4	672.494	0.054	0.079	0.686	0.493	0.628
ADCK5	74.239	-0.135	0.169	-0.798	0.425	0.566
ADCY1	1182.85	0.016	0.063	0.247	0.805	0.873
ADCY10	34.938	0.599	0.199	3.002	0.003	0.009
ADCY2	0.271	-0.001	0.052	-0.012	0.99	
ADCY3	1282.58	0.134	0.066	2.041	0.041	0.092
ADCY4	0.943	0.033	0.086	0.387	0.699	
ADCY5	138.488	0.501	0.135	3.71	0.0	0.001
ADCY6	1350.835	0.21	0.062	3.388	0.001	0.003
ADCY7	310.905	0.534	0.111	4.796	0.0	0.0
ADCY8	0.245	0.013	0.05	0.268	0.789	
ADCY9	923.137	0.179	0.067	2.684	0.007	0.021
ADCYAP1	0.16	0.0	0.042	0.0	1.0	
ADCYAP1R1	94.907	1.073	0.154	6.948	0.0	0.0
ADD1	3887.544	-0.42	0.047	-8.929	0.0	0.0
ADD2	1531.504	-0.343	0.059	-5.773	0.0	0.0
ADD3	3817.735	0.101	0.057	1.777	0.076	0.15
ADGB	0.531	-0.052	0.067	-0.772	0.44	
ADH1A	0.0					
ADH1B	0.245	-0.014	0.05	-0.292	0.77	
ADH1C	18.66	-0.712	0.206	-3.449	0.001	0.002
ADH4	0.191	0.01	0.042	0.226	0.821	
ADH5	1882.643	0.116	0.055	2.104	0.035	0.081
ADH6	0.457	-0.002	0.067	-0.035	0.972	
ADH7	0.0					
ADHFE1	33.843	0.222	0.197	1.123	0.261	0.394
ADI1	2307.919	-0.651	0.058	-11.234	0.0	0.0
ADIG	0.0					
ADIPOQ	0.112	0.009	0.042	0.226	0.821	
ADIPOR1	3280.739	-0.392	0.049	-7.994	0.0	0.0
ADIPOR2	4961.917	-0.186	0.049	-3.79	0.0	0.001
ADK	915.635	0.13	0.067	1.956	0.05	0.108
ADM	572.842	0.098	0.079	1.237	0.216	0.342
ADM2	45.216	0.717	0.189	3.787	0.0	0.001
ADNP	3792.721	-0.257	0.05	-5.122	0.0	0.0
ADNP2	1583.844	-0.099	0.058	-1.712	0.087	0.168
ADO	1584.684	-0.075	0.062	-1.2	0.23	0.359
ADORA1	67.152	-0.01	0.169	-0.057	0.954	0.972
ADORA2A	98.917	0.299	0.151	1.983	0.047	0.103
ADORA2B	368.441	0.211	0.109	1.933	0.053	0.113
ADORA3	2.004	0.051	0.124	0.412	0.68	
ADPGK	1500.731	-0.026	0.06	-0.428	0.669	0.775
ADPRH	16.806	-0.297	0.208	-1.431	0.152	0.262
ADPRHL1	59.822	-0.528	0.182	-2.892	0.004	0.012
ADPRHL2	943.703	0.014	0.074	0.182	0.855	0.908
ADRA1A	2.923	-0.006	0.148	-0.043	0.966	0.979
ADRA1B	50.331	0.127	0.184	0.688	0.491	0.627
ADRA1D	1.103	0.076	0.099	0.767	0.443	
ADRA2A	7.939	-0.015	0.194	-0.076	0.939	0.964
ADRA2B	20.866	0.178	0.207	0.86	0.39	0.531
ADRA2C	275.895	0.405	0.109	3.732	0.0	0.001
ADRB1	30.289	0.427	0.201	2.119	0.034	0.078
ADRB2	123.395	0.391	0.142	2.754	0.006	0.018
ADRB3	0.112	0.009	0.042	0.226	0.821	
ADRBK1	1746.89	-0.179	0.067	-2.68	0.007	0.022
ADRBK2	1109.667	-0.05	0.065	-0.772	0.44	0.581
ADRM1	1988.625	-0.492	0.071	-6.939	0.0	0.0
ADSL	2364.715	-0.212	0.055	-3.88	0.0	0.001
ADSS	1894.44	-0.054	0.064	-0.845	0.398	0.54
ADSSL1	88.021	0.637	0.163	3.902	0.0	0.0
ADTRP	6.063	-0.0	0.181	-0.002	0.998	0.999
AEBP1	1.356	-0.015	0.105	-0.14	0.888	
AEBP2	1851.746	0.399	0.067	5.998	0.0	0.0
AEN	3627.359	0.048	0.06	0.8	0.424	0.565
AES	2942.248	-0.066	0.061	-1.076	0.282	0.417
AFAP1	842.686	0.14	0.071	1.964	0.05	0.107
AFAP1-AS1	1.306	-0.044	0.103	-0.421	0.674	
AFAP1L1	642.299	-0.163	0.074	-2.208	0.027	0.065
AFAP1L2	75.854	0.504	0.162	3.116	0.002	0.006
AFF1	2589.601	-0.075	0.051	-1.47	0.142	0.247
AFF2	630.938	0.082	0.082	0.997	0.319	0.458
AFF3	868.749	-0.075	0.073	-1.032	0.302	0.44
AFF4	7202.817	0.008	0.056	0.151	0.88	0.926
AFG3L1P	705.212	-0.352	0.075	-4.71	0.0	0.0
AFG3L2	1282.051	-0.009	0.06	-0.156	0.876	0.923
AFM	0.0					
AFMID	879.218	-0.21	0.079	-2.643	0.008	0.024
AFP	0.76	-0.04	0.082	-0.489	0.625	
AFTPH	1221.728	0.113	0.064	1.776	0.076	0.15
AGA	267.78	0.534	0.108	4.932	0.0	0.0
AGAP1	1338.727	-0.148	0.06	-2.475	0.013	0.036
AGAP11	78.465	0.341	0.16	2.126	0.033	0.077
AGAP2	67.679	1.132	0.177	6.407	0.0	0.0
AGAP3	2072.71	-0.154	0.055	-2.809	0.005	0.015
AGAP4	0.656	0.059	0.072	0.823	0.411	
AGAP5	100.376	0.156	0.153	1.021	0.307	0.445
AGAP6	538.437	0.046	0.085	0.547	0.584	0.708
AGAP7	2.552	0.065	0.137	0.479	0.632	0.746
AGAP8	78.983	-0.171	0.167	-1.024	0.306	0.444
AGAP9	14.322	0.196	0.207	0.948	0.343	0.484
AGBL1	0.264	0.014	0.051	0.275	0.783	
AGBL2	0.967	-0.077	0.092	-0.836	0.403	
AGBL3	187.742	0.261	0.126	2.072	0.038	0.086
AGBL4	3.016	0.02	0.145	0.14	0.889	0.932
AGBL5	2462.457	-0.415	0.058	-7.129	0.0	0.0
AGER	61.124	-0.143	0.179	-0.799	0.424	0.565
AGFG1	2533.28	0.088	0.053	1.674	0.094	0.179
AGFG2	230.839	-0.051	0.112	-0.457	0.647	0.759
AGGF1	2187.638	0.291	0.06	4.866	0.0	0.0
AGK	2092.873	-0.212	0.052	-4.077	0.0	0.0
AGL	2148.004	-0.162	0.078	-2.083	0.037	0.084
AGMAT	64.191	-0.326	0.177	-1.842	0.065	0.133
AGMO	0.29	-0.016	0.053	-0.31	0.757	
AGPAT1	3248.86	-0.258	0.055	-4.654	0.0	0.0
AGPAT2	744.157	-0.292	0.073	-3.994	0.0	0.0
AGPAT3	1873.506	-0.622	0.057	-10.843	0.0	0.0
AGPAT4	730.705	0.194	0.072	2.672	0.008	0.022
AGPAT4-IT1	15.729	0.127	0.208	0.61	0.542	0.672
AGPAT5	1322.74	0.015	0.061	0.244	0.807	0.875
AGPAT6	1382.014	0.087	0.057	1.532	0.126	0.225
AGPAT9	361.86	0.548	0.099	5.528	0.0	0.0
AGPHD1	232.091	-0.001	0.11	-0.013	0.989	0.993
AGPS	3190.11	-0.026	0.061	-0.43	0.667	0.774
AGR2	0.08	0.0	0.042	0.0	1.0	
AGR3	0.0					
AGRN	1766.292	0.804	0.075	10.764	0.0	0.0
AGRP	0.0					
AGSK1	0.0					
AGT	1.569	-0.084	0.109	-0.769	0.442	
AGTPBP1	1548.717	-0.051	0.062	-0.827	0.408	0.55
AGTR1	57.695	0.455	0.177	2.576	0.01	0.028
AGTR2	0.377	-0.042	0.06	-0.699	0.484	
AGTRAP	577.443	-0.241	0.088	-2.739	0.006	0.018
AGXT	0.461	0.023	0.067	0.337	0.736	
AGXT2	0.0					
AGXT2L1	76.944	0.287	0.163	1.766	0.077	0.153
AGXT2L2	468.681	0.603	0.086	7.025	0.0	0.0
AHCTF1	721.538	-0.047	0.077	-0.6	0.548	0.678
AHCY	5118.393	-0.259	0.045	-5.748	0.0	0.0
AHCYL1	4162.581	0.31	0.045	6.919	0.0	0.0
AHCYL2	889.895	0.086	0.072	1.199	0.231	0.359
AHDC1	766.326	-0.067	0.078	-0.865	0.387	0.528
AHI1	1064.001	0.013	0.07	0.18	0.858	0.909
AHNAK	1304.738	0.864	0.083	10.44	0.0	0.0
AHNAK2	154.501	0.444	0.136	3.263	0.001	0.004
AHR	1014.664	0.001	0.067	0.009	0.993	0.995
AHRR	1772.138	-0.398	0.066	-5.987	0.0	0.0
AHSA1	3422.81	-0.254	0.048	-5.345	0.0	0.0
AHSA2	1591.826	0.201	0.06	3.366	0.001	0.003
AHSG	2.444	0.155	0.137	1.13	0.259	
AHSP	0.191	0.01	0.042	0.226	0.821	
AICDA	0.13	-0.01	0.042	-0.246	0.806	
AIDA	330.025	-0.231	0.097	-2.385	0.017	0.044
AIF1	2.015	-0.108	0.127	-0.85	0.395	
AIF1L	1745.758	-0.17	0.061	-2.779	0.005	0.017
AIFM1	1926.007	-0.236	0.056	-4.216	0.0	0.0
AIFM2	303.073	-0.594	0.1	-5.919	0.0	0.0
AIFM3	3.283	-0.159	0.15	-1.058	0.29	0.426
AIG1	550.963	0.541	0.086	6.283	0.0	0.0
AIM1	108.502	0.187	0.153	1.228	0.22	0.346
AIM1L	58.144	0.036	0.177	0.205	0.837	0.895
AIM2	0.0					
AIMP1	1847.095	0.021	0.058	0.367	0.714	0.807
AIMP2	1259.446	-0.353	0.069	-5.087	0.0	0.0
AIP	1071.68	-0.142	0.072	-1.979	0.048	0.103
